campaign_id,campaign_name,channel,region,start_date,end_date,objective,spend_usd
CMP-1001,LinkedIn-Campaign-01,LinkedIn,APAC,2024-07-15,2024-08-22,Demand Gen,86561
CMP-1002,Webinar-Campaign-02,Webinar,NA,2025-01-30,2025-04-07,Conversion,52548
CMP-1003,Webinar-Campaign-03,Webinar,NA,2025-01-06,2025-02-27,Pipeline,117769
CMP-1004,Display-Campaign-04,Display,NA,2024-10-02,2024-12-16,Conversion,53236
CMP-1005,Partners-Campaign-05,Partners,APAC,2024-07-12,2024-09-22,Demand Gen,50176
CMP-1006,LinkedIn-Campaign-06,LinkedIn,APAC,2024-10-19,2024-12-21,Pipeline,38613
CMP-1007,Webinar-Campaign-07,Webinar,NA,2025-01-16,2025-03-31,Pipeline,100435
CMP-1008,LinkedIn-Campaign-08,LinkedIn,EMEA,2024-09-10,2024-09-28,Conversion,24547
CMP-1009,Display-Campaign-09,Display,NA,2024-02-21,2024-05-12,Lead Gen,67890
CMP-1010,LinkedIn-Campaign-10,LinkedIn,APAC,2024-07-28,2024-08-30,Pipeline,17807
CMP-1011,Webinar-Campaign-11,Webinar,EMEA,2024-11-15,2025-01-18,Lead Gen,93175
CMP-1012,Partners-Campaign-12,Partners,EMEA,2024-07-13,2024-09-05,Pipeline,90155
CMP-1013,Paid Search-Campaign-13,Paid Search,APAC,2024-11-12,2024-12-04,Conversion,38771
CMP-1014,Paid Search-Campaign-14,Paid Search,NA,2024-08-10,2024-09-05,Lead Gen,107663
CMP-1015,LinkedIn-Campaign-15,LinkedIn,EMEA,2024-12-21,2025-02-11,Lead Gen,11794
CMP-1016,Paid Search-Campaign-16,Paid Search,EMEA,2024-05-30,2024-07-28,Pipeline,57131
CMP-1017,LinkedIn-Campaign-17,LinkedIn,NA,2024-09-28,2024-12-03,Demand Gen,82177
CMP-1018,LinkedIn-Campaign-18,LinkedIn,NA,2024-02-10,2024-04-12,Demand Gen,89226
CMP-1019,Partners-Campaign-19,Partners,EMEA,2024-03-14,2024-04-26,Conversion,68443
CMP-1020,Webinar-Campaign-20,Webinar,EMEA,2024-12-07,2024-12-22,Pipeline,113464
CMP-1021,Partners-Campaign-21,Partners,EMEA,2024-03-21,2024-04-13,Conversion,65898
CMP-1022,Webinar-Campaign-22,Webinar,APAC,2024-11-23,2025-01-30,Conversion,98480
CMP-1023,Webinar-Campaign-23,Webinar,EMEA,2024-04-11,2024-06-13,Pipeline,119848
CMP-1024,LinkedIn-Campaign-24,LinkedIn,NA,2024-07-14,2024-10-09,Conversion,55049
CMP-1025,Webinar-Campaign-25,Webinar,APAC,2024-01-12,2024-03-16,Lead Gen,43976
CMP-1026,Paid Search-Campaign-26,Paid Search,APAC,2025-04-11,2025-06-27,Conversion,117161
CMP-1027,Partners-Campaign-27,Partners,NA,2025-02-14,2025-04-14,Demand Gen,36705
CMP-1028,Webinar-Campaign-28,Webinar,APAC,2024-12-13,2025-01-13,Lead Gen,90345
CMP-1029,Paid Search-Campaign-29,Paid Search,APAC,2024-06-07,2024-08-16,Conversion,12373
CMP-1030,LinkedIn-Campaign-30,LinkedIn,APAC,2024-02-16,2024-04-07,Pipeline,50823
